,Video Title,Video URL,Published Date,Channel Title,Comment,Comment Author,Comment Published,Like Count (Comment)
36,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,That’s why rockets fly even higher … no engines needed since it’s in orbit 😅,@tarcisiobrandao6494,2025-05-28T23:20:10Z,0
37,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,That makes a lot of sense and of course they would do that that way😂,@Myramenaddiction,2025-05-28T21:07:25Z,0
38,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"Not only does air density decrease with altitude, engine thrust also decreases.  However, fuel consumption at higher air density(low altitude) burns more fuel. As the aircraft climbs to a higher altitude it burns less fuel……..it takes less thrust to push the aircraft through thinner air than thicker (denser) air.",@JamesRae-n2v,2025-05-28T18:52:43Z,0
39,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Yet he crashed in to Pentagon at 600 mph?,@KentKindvall,2025-05-28T18:44:27Z,0
40,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"I flew from London to Atlanta just yesterday. During most of the flight we were at 38,000 feet at about 570mph, and our headwind was less than 30mph. I had not realized that airliners flew that high or that fast.",@cisium1184,2025-05-28T17:33:17Z,0
41,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,So really they don’t waste use up fuel yet they charge everyone Armand a leg how greedy it that,@marcodeluca4068,2025-05-28T16:35:40Z,0
42,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"Correct me if im wrong but, I think I there’s a duality between fuel consumption and time. If I fly at the same thrust (force) as at a lower altitude, I’ll have a higher speed due to thinner air, so the flight time is shorter, but since the force over the same distance is the same, the total fuel consumption stays roughly equal.  On the other hand, if I fly at the same speed as at a lower altitude, I need less thrust because of the lower air resistance, which means less total work done and therefore less fuel consumption, but the travel time increases.  So basically, flying faster at higher altitude uses the same amount of fuel in contrary to what Veritasium says around halfway through the video.",@arthurvh9800,2025-05-28T16:34:42Z,1
43,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"if they had unlimited fuel, wouldn't they still fly high? noise.",@stevewang,2025-05-28T16:25:51Z,0
44,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,I can just see people twist the facts and start claiming flying is good for the environment.,@bigboldbicycle,2025-05-28T15:44:50Z,0
45,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,In spite of all these benefits...the increasing air traffic is causing pollution in the upper atmosphere... which directly contributes to global warming....at this altitude where less power is required... electric aviation can be useful....,@mig_21bison,2025-05-28T14:04:26Z,0
